Dataset,N_Samples,N_Features,Missing_Values,Target_Classes,Execution_Status,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Training_Time_sec
dataset_2_anneal.csv,898,38,22175,5,Success,0.7616945996275606,0.15972780881440102,0.21000000000000002,0.18137846036897023,3.0385520458221436
dataset_307_vowel.csv,990,12,0,11,Success,0.12626262626262624,0.06182122811648751,0.12576836581486664,0.06957075859318948,1.4844341278076172
dataset_30_page-blocks.csv,5473,10,0,5,Success,0.8976796640872171,0.17358456671090963,0.1933333333333333,0.18292500722021784,2.2540552616119385
dataset_327_bridges.csv,105,11,61,6,Success,0.21904761904761902,0.10107792207792207,0.25055555555555553,0.13272993088782564,0.41339111328125
dataset_328_bridges.csv,105,11,61,6,Success,0.22857142857142856,0.11241159711747946,0.25222222222222224,0.1410412394622921,0.3798229694366455
dataset_329_hayes-roth.csv,160,4,0,3,Success,0.40625,0.13541666666666666,0.3333333333333333,0.19088445429908843,0.5324885845184326
dataset_338_grub-damage.csv,155,8,0,4,Success,0.39354838709677414,0.22308236425883482,0.3422979797979798,0.2433162439412439,0.3995530605316162
dataset_35_dermatology.csv,366,34,8,6,Success,0.002702702702702703,0.0006493506493506494,0.0009216589861751152,0.000761904761904762,0.6399190425872803
dataset_36_segment.csv,2310,19,0,7,Success,0.17835497835497838,0.05495172117033721,0.17895682255136097,0.07667688974249891,0.820082426071167
dataset_373_UNIX_user_data.csv,9100,2,0,9,Success,0.049670329670329666,0.01168578439714866,0.09749560628289988,0.020522010401524824,226.46294379234314
dataset_374_SyskillWebert-BioMedical.csv,131,2,0,3,Success,0.45754985754985755,0.4015567765567766,0.40013164223690545,0.3703149920255183,2.2791788578033447
dataset_375_JapaneseVowels.csv,9961,14,0,9,Success,0.11002756636178432,0.012225285151309368,0.11111111111111112,0.0220019692523301,0.8351523876190186
dataset_377_synthetic_control.csv,600,60,0,6,Success,0.026666666666666665,0.008388985932845582,0.02693924385740242,0.012705156988369149,0.8644931316375732
dataset_378_ipums_la_99-small.csv,8844,60,51515,7,Success,0.515942872343963,0.15869942102165635,0.23089842556156598,0.147841051795288,11.818840742111206
dataset_381_ipums_la_98-small.csv,7485,60,52048,7,Success,0.5269205076820307,0.15960613080608038,0.22823420148692852,0.15341746825357366,6.501492738723755
dataset_382_ipums_la_97-small.csv,7019,60,48089,8,Success,0.17323714141247998,0.02354189622040167,0.06957944791810854,0.03511345125291169,14.239417314529419
dataset_39_ecoli.csv,336,7,0,8,Success,0.48832309043020194,0.19481783820506188,0.25802549535581987,0.1981884825736644,0.2328510284423828
dataset_41_glass.csv,214,9,0,6,Success,0.1592469545957918,0.11998928386428387,0.1601008925714808,0.09514646264511384,0.266434907913208
dataset_42_soybean.csv,683,35,2337,19,Success,0.029272219836839846,0.006792149128906087,0.05380116959064327,0.01192670094629128,0.7207436561584473
dataset_46_splice.csv,3190,60,0,3,Success,0.35548589341692793,0.2781698235200812,0.49175893838673634,0.3481184817842553,3.2490944862365723
dataset_48_tae.csv,151,5,0,3,Success,0.32430107526881724,0.10810035842293905,0.3333333333333333,0.16208363140327198,0.2371959686279297
dataset_54_vehicle.csv,846,18,0,4,Success,0.3427567003132614,0.21970459711682305,0.34519700312557455,0.24261561618654212,1.5408105850219727
dataset_57_hypothyroid.csv,3772,29,6064,4,Success,0.9228510197270188,0.2771351321282812,0.3,0.2881098230945839,3.387493133544922
dataset_5_arrhythmia.csv,452,279,408,13,Success,0.3164835164835164,0.041505777751376954,0.0498243509364199,0.04448363778702811,0.9567139148712158
dataset_60_waveform-5000.csv,5000,40,0,3,Success,0.42780000000000007,0.3162878134407258,0.42633994712116785,0.3543186620118706,2.093296527862549
dataset_61_iris.csv,150,4,0,3,Success,0.6599999999999999,0.4949020204007416,0.6599999999999999,0.5506770590739488,0.3457176685333252
dataset_62_zoo.csv,101,16,0,7,Success,0.4838095238095238,0.16093711843711844,0.24333333333333335,0.17965522976049292,0.18447470664978027
dataset_9_autos.csv,205,25,59,6,Success,0.4439024390243903,0.1606791041775562,0.2705022755022755,0.19943029013996755,0.7111513614654541
